Type,Name,Method,Element type,Element ID,Reviewed in,Detail,Procurement,BM_type,Min_num_Fbs,Max_num_Fbs,Fundamental object,Num_Fund_objs,Form,Scale,Nonstructural,Structural,Dynamic,Energetic,Kinetic,Thermo,Quantum_dyn,Evolutionary,Topological,Functional,Complexation,Sidechain,Folded,Rot_inv,Trans_inv,Electrostatic,Hydrophobic,Van der Waals,Hbond,Salt bridge,Pi,Metal,Solvent,Solute,Trapped water,Pocket/void,Fixed_size,Hierarch,Unique,Subset_Unique,Differentiable,Reversible,Guarantee_Valid,Probabilistic,Ref_frames,Graph: Node/edge?,Toxological,Metabolic,Extens,ComputCostly,Lin_comb,AG_layer,AugRatio,Implem,OSI_Avail,License,Docs,Webserver,Comment,Improv,Type,PubYr,Auth,Title,PubTitle,DOI,,,,,,,
Arch,CapsNet,,,,,Math,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Wang, Yanxing; Hu, Jianxing; Lai, Junyong; Li, Yibo; Jin, Hongwei; Zhang, Lihe; Zhang, Liangren; Liu, Zhenming",TF3P: Three-dimensional Force Fields Fingerprint Learned by Deep Capsular Network,,10.1021/acs.jcim.0c00005,,,,,,,
Arch,DeepDrug3D,DeepDrug3D architecture,,,,Structural,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Pu, Limeng; Govindaraj, Rajiv Gandhi; Lemoine, Jeffrey Mitchell; Wu, Hsiao-Chun; Brylinski, Michal",DeepDrug3D: Classification of ligand-binding pockets in proteins with a convolutional neural network,PLOS Computational Biology,10.1371/journal.pcbi.1006718,,,,,,,
Arch,libmolgrid,Tensor featurizer for gnina library,,,,Structural,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/gnina/libmolgrid,,,,,,journalArticle,2019,"Sunseri, Jocelyn; Koes, David Ryan",libmolgrid: GPU Accelerated Molecular Gridding for Deep Learning Applications,"arXiv:1912.04822 [physics, q-bio]",,,,,,,,
Arch,TFN,Tensor field networks,,,,Math,Computational,Protein,,,,,,Both,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2018,"Thomas, Nathaniel; Smidt, Tess; Kearnes, Steven; Yang, Lusann; Li, Li; Kohlhoff, Kai; Riley, Patrick",Tensor field networks: Rotation- and translation-equivariant neural networks for 3D point clouds,arXiv:1802.08219 [cs],,,,,,,,
Arch,GANDALF,,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conferencePaper,2019,"Rossetto, Allison M.; Zhou, Wenjin",GANDALF: A Prototype of a GAN-based Peptide Design Method,"Proceedings of the 10th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics",10.1145/3307339.3342183,,,,,,,
Arch,PIP_GCN,,,,,Structural,,,,,,,Graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2017,"Fout, Alex; Byrd, Jonathon; Shariat, Basir; Ben-Hur, Asa",Protein Interface Prediction using Graph Convolutional Networks,,,,,,,,,
Arch,TAE,Topological autoencoder,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computerProgram,2021,,BorgwardtLab/topological-autoencoders,,,,,,,,,
Arch,ParaVS. Uses proximity of atoms in the pocket or ligand to create a graph feature vector.,,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2021,"Wu, Junfeng; Leng, Dawei; Pan, Lurong","ParaVS: A Simple, Fast, Efficient and Flexible Graph Neural Network Framework for Structure-Based Virtual Screening","arXiv:2102.06086 [cs, q-bio]",,,,,,,,
Arch,tf_geometric,,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2021,"Hu, Jun; Qian, Shengsheng; Fang, Quan; Wang, Youze; Zhao, Quan; Zhang, Huaiwen; Xu, Changsheng",Efficient Graph Deep Learning in TensorFlow with tf_geometric,"arXiv:2101.11552 [cs, stat]",,,,,,,,
Arch,GVP,Geometric vector perceptrons,,,,Structural,,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Jing, Bowen; Eismann, Stephan; Suriana, Patricia; Townshend, Raphael J. L.; Dror, Ron",Learning from Protein Structure with Geometric Vector Perceptrons,"arXiv:2009.01411 [cs, q-bio, stat]",,,,,,,,
